id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2014-1054425,2014-01-09,000001,Vente,1250000,19,,RUE DU COLISEE,2185,75008,75108,Paris 8e Arrondissement,75,,,75108000BH0009,,,70,118.52,,,,,,,,,1,2,Appartement,114,4,,,,,,2.308322,48.870913
2014-1054426,2014-01-09,000001,Vente,1950000,9,,RUE PORTALIS,7628,75008,75108,Paris 8e Arrondissement,75,,,75108000BX0086,,,39,,,,,,,,,,1,2,Appartement,114,3,,,,,,2.31921,48.877399
2014-1054426,2014-01-09,000001,Vente,1950000,9,,RUE PORTALIS,7628,75008,75108,Paris 8e Arrondissement,75,,,75108000BX0086,,,5,,,,,,,,,,1,2,Appartement,38,1,,,,,,2.31921,48.877399
2014-1054426,2014-01-09,000001,Vente,1950000,9,,RUE PORTALIS,7628,75008,75108,Paris 8e Arrondissement,75,,,75108000BX0086,,,4,253.22,,,,,,,,,1,2,Appartement,256,6,,,,,,2.31921,48.877399
2014-1054427,2014-01-03,000001,Vente,366300,39,,RUE DE MOSCOU,6573,75008,75108,Paris 8e Arrondissement,75,,,75108000CE0043,,,24,31.39,25,,,,,,,,2,2,Appartement,28,2,,,,,,2.321644,48.882009
2014-1054428,2014-01-10,000001,Vente,290000,217,,RUE DU FAUBOURG SAINT HONORE,3518,75008,75108,Paris 8e Arrondissement,75,,,75108000AX0115,,,156,28.74,,,,,,,,,1,2,Appartement,30,1,,,,,,2.300376,48.876606
2014-1054433,2014-01-03,000001,Vente,1865000,31,,RUE DE LISBONNE,5708,75008,75108,Paris 8e Arrondissement,75,,,75108000CI0001,,,473,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.312982,48.877392
2014-1054433,2014-01-03,000001,Vente,1865000,31,,RUE DE LISBONNE,5708,75008,75108,Paris 8e Arrondissement,75,,,75108000CI0001,,,474,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.312982,48.877392
2014-1054433,2014-01-03,000001,Vente,1865000,31,,RUE DE LISBONNE,5708,75008,75108,Paris 8e Arrondissement,75,,,75108000CI0001,,,427,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.312982,48.877392
2014-1054433,2014-01-03,000001,Vente,1865000,31,,RUE DE LISBONNE,5708,75008,75108,Paris 8e Arrondissement,75,,,75108000CI0001,,,407,203.2,,,,,,,,,1,2,Appartement,208,5,,,,,,2.312982,48.877392
2014-1054434,2014-01-06,000001,Vente,1840000,33,,RUE DE WASHINGTON,9942,75008,75108,Paris 8e Arrondissement,75,,,75108000AU0045,,,26,,28,169.08,,,,,,,2,2,Appartement,176,7,,,,,,2.303717,48.873841
2014-1054434,2014-01-06,000001,Vente,1840000,33,,RUE DE WASHINGTON,9942,75008,75108,Paris 8e Arrondissement,75,,,75108000AU0045,,,31,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.303717,48.873841
