"index";"Latitude";"Longitude";"gares_id";"nom_gare";"nomlong";"ligne";"x";"y";"prix_moyen_2014";"prix_moyen_2015";"prix_moyen_2016";"prix_moyen_2017";"prix_moyen_2018";"prix_moyen_2019";"prix_moyen_global"
"38,0";"48,8775512518";"2,28316224223";"1,0";"Porte Maillot";"PORTE MAILLOT";"1";"647424,8025";"6864408,6314";"7684,262480879492";"8558,06966497784";"8706,51453815775";"9414,139848611061";"9807,176548339345";"10289,909244352462";"9076,678720886326"
"228,0";"48,884594208";"2,3379497770599995";"2,0";"Abbesses";"ABBESSES";"12";"651449,5655";"6865156,6779";"8669,510195339546";"8219,605721078311";"8426,392421274611";"10018,139838923053";"9471,742476421094";"9929,533787570512";"9122,487406767854"
"67,0";"48,8281884763";"2,32716464961";"10,0";"Alésia";"ALESIA";"4";"650605,2307";"6858891,5557";"8124,67428710372";"8233,265941990741";"8349,418530425703";"8550,29826702651";"9023,36561075846";"10061,082124221204";"8723,684126921056"
"232,0";"48,8563773572";"2,3945619445599995";"11,0";"Alexandre Dumas";"ALEXANDRE DUMAS";"2";"655576,9894";"6861985,8376";"6402,4605948664375";"7027,325856475073";"7517,940788996331";"8021,839735899221";"20876,10508532909";"8766,83601270365";"9768,751345711635"
"143,0";"48,864766845";"2,3009910035";"14,0";"Alma-Marceau";"ALMA-MARCEAU";"9";"648719,8026";"6862975,3829";"28820,55645948815";"12055,55262385965";"14289,795164479834";"13942,28357803852";"14522,88201517988";"13895,775867238499";"16254,47428471409"
"68,0";"48,882868647600006";"2,3441306337200003";"21,0";"Anvers";"ANVERS";"2";"651901,2249";"6864961,0235";"7859,897853129926";"7919,1251972327045";"8119,90612587968";"9490,95280027636";"9365,383238238826";"9412,21298604463";"8694,579700133689"
"144,0";"48,875594049899995";"2,28932258961";"25,0";"Argentine";"ARGENTINE";"1";"647874,6513";"6864186,9211";"10937,023519046852";"8757,89944441099";"9016,668564576748";"9163,682818808677";"10806,550643333801";"10645,54269286124";"9887,89461383972"
"69,0";"48,8653227117";"2,35672986917";"27,0";"Arts et Métiers";"ARTS ET METIERS";"11";"652809,2865";"6863002,4359";"8991,808001228374";"9412,815782243168";"9604,862196359396";"10674,954673210987";"10658,263479455427";"13067,54278634939";"10401,70781980779"
"70,0";"48,865586477600004";"2,3567367568099997";"28,0";"Arts et Métiers";"ARTS ET METIERS";"3";"652810,0307";"6863031,7605";"9035,622513092158";"9375,453856808512";"9574,16344571172";"10589,616839580174";"10475,217674368";"12922,22746875228";"10328,716966385475"
"1,0";"48,860786963500004";"2,32099819195";"30,0";"Assemblée Nationale";"ASSEMBLEE NATIONALE";"12";"650183,7135";"6862520,0466";"13640,964816803935";"12867,141043337795";"15869,847952358341";"14105,219078796183";"16343,350013997087";"25195,63224924366";"16337,025859089501"
"146,0";"48,84701958189999";"2,29542047803";"43,0";"Avenue Émile Zola";"AVENUE EMILE ZOLA";"10";"648293,5441";"6861005,6876";"8634,169811237833";"8370,015881566072";"8851,202720900887";"9279,00641086177";"9978,415332497514";"10556,95333745609";"9278,293915753362"
"311,0";"48,851510278199996";"2,39830234427";"44,0";"Avron";"AVRON";"2";"655847,3058";"6861442,5619";"7141,8434070811445";"7136,920797254104";"7229,985140724465";"7946,045646467352";"8009,349486874811";"8822,195652973434";"7714,390021895885"
"2,0";"48,8359308792";"2,27816167128";"47,0";"Balard";"BALARD";"8";"647015,7484";"6859784,1873";"7300,917855916347";"7432,030042990916";"7291,784642545372";"8459,436517547456";"8773,683376634131";"9162,058214656394";"8069,98510838177"
"71,0";"48,8838039424";"2,35061300069";"49,0";"Barbès-Rochechouart";"BARBES-ROCHECHOUART";"2";"652377,4597";"6865061,0935";"6891,712626496697";"6694,596919656074";"6817,756605861061";"7798,923737831243";"8180,204335327577";"8939,683471265074";"7553,812949406288"
"312,0";"48,883436188100006";"2,34977444365";"50,0";"Barbès-Rochechouart";"BARBES-ROCHECHOUART";"4";"652315,6291";"6865020,7075";"7066,864550034678";"6932,2581485512455";"7011,774760578499";"8016,457630518362";"8408,85886678416";"9124,83443693203";"7760,174732233162"
"3,0";"48,852479422799995";"2,36932058493";"54,0";"Bastille";"BASTILLE";"1";"653721,5234";"6861566,9178";"9589,047418735334";"8549,211709463192";"10209,178892573427";"10970,505404087338";"11379,694376395631";"12236,377973902054";"10489,002629192828"
"147,0";"48,853436962299995";"2,36873657263";"55,0";"Bastille";"BASTILLE";"5";"653679,5214";"6861673,7301";"9825,552394688359";"8688,45563649607";"10460,10051216973";"9532,482433434629";"11610,139568028368";"12143,511314165033";"10376,706976497031"
"233,0";"48,8534394276";"2,36951356952";"56,0";"Bastille";"BASTILLE";"8";"653736,5364";"6861673,5487";"9662,01503051483";"8522,639975074331";"10261,768249499839";"9421,051978096155";"11727,897406320295";"12237,657224323317";"10305,504977304796"
"4,0";"48,8413382509";"2,40091853812";"59,0";"Bel Air";"BEL-AIR";"6";"656030,6977";"6860310,0664";"6967,748817542268";"8115,726051358554";"7398,006625372075";"8494,49373286392";"8028,9326624324785";"8647,671389924872";"7942,096546582361"
"72,0";"48,8718487938";"2,3765936827400003";"60,0";"Belleville";"BELLEVILLE";"11";"654272,2071";"6863716,4009";"7027,319301731144";"6677,666312435932";"6555,788501712802";"7786,152656807132";"12707,18763892082";"9083,647159200244";"8306,293595134679"
"148,0";"48,872310113800005";"2,37670214473";"61,0";"Belleville";"BELLEVILLE";"2";"654280,5677";"6863767,6337";"6796,362066824024";"6649,319142394095";"6527,907962806202";"7638,547459935243";"8454,989851616738";"9049,298980927842";"7519,404244084024"
"149,0";"48,840001389499996";"2,3795540112";"66,0";"Bercy";"BERCY";"14";"654461,522";"6860173,5295";"5884,378255699876";"7238,580425583127";"7767,697657827849";"7648,389684266343";"7747,024735484368";"8714,494079327886";"7500,094139698242"
"5,0";"48,840388748100004";"2,37991127145";"67,0";"Bercy";"BERCY";"6";"654488,0813";"6860216,3939";"6701,167794271281";"7235,2190149964445";"7761,570569172577";"7868,318053894821";"7964,045560227556";"8753,494502966665";"7713,96924925489"
"308,0";"48,8299902817";"2,37574814434";"72,0";"Bibliothèque François Mitterrand";"BIBLIOTHEQUE FRANCOIS MITTERRAND";"14";"654173,3908";"6859062,6022";"6877,883617677046";"5743,913941468391";"7533,51503372841";"10813,744846147863";"13614,174002630167";"8915,486372872487";"8916,452969087395"
"229,0";"48,8539426071";"2,2893345327700003";"75,0";"Bir-Hakeim (Grenelle)";"BIR-HAKEIM (GRENELLE)";"6";"647853,8595";"6861779,4605";"8844,785536085847";"8433,593594580705";"8597,290943571827";"9497,468242694797";"10121,60986074963";"10105,298212292537";"9266,674398329224"
