Latitude;Longitude;gares_id;nom_gare;nomlong;ligne;x;y
48.8794817719;2.38911580738;93;Botzaris;BOTZARIS;7b;655197.2716;6864557.9604
48.8607869635;2.32099819195;30;Assemblée Nationale;ASSEMBLEE NATIONALE;12;650183.7135;6862520.0466
48.8359308792;2.27816167128;47;Balard;BALARD;8;647015.7484;6859784.1873
48.8524794228;2.36932058493;54;Bastille;BASTILLE;1;653721.5234;6861566.9178
48.8413382509;2.40091853812;59;Bel Air;BEL-AIR;6;656030.6977;6860310.0664
48.8403887481;2.37991127145;67;Bercy;BERCY;6;654488.0813;6860216.3939
48.7967407666;2.44943317569;223;Créteil-L'Échat (Hôpital Mondor);CRETEIL-L'ECHAT (HOPITAL MONDOR);8;659556.7711;6855325.4146
48.842436797;2.365184812;311;Gare d'Austerlitz;AUSTERLITZ;10;653409.0746;6860452.705
48.8394454284;2.39618288645;234;Daumesnil;DAUMESNIL;8;655681.5241;6860102.2506
48.8470525545;2.31642435206;247;Duroc;DUROC;13;649834.9325;6860995.805
48.8354953554;2.3588234891;124;Campo Formio;CAMPO-FORMIO;5;652935.9416;6859684.6612
48.9195730741;2.34330593051;126;Carrefour Pleyel;CARREFOUR PLEYEL;13;651874.6896;6869042.8996
48.8751498197;2.29590490608;152;Charles De Gaulle-Étoile;CHARLES DE GAULLE ETOILE;1;648356.9846;6864133.201
48.8570599663;2.34771187993;169;Châtelet;CHATELET;7;652140.1462;6862089.1146
48.8776101874;2.37081139531;195;Colonel Fabien;COLONEL FABIEN;2;653853.1813;6864360.3934
48.8447947646;2.29395196364;197;Commerce;COMMERCE;8;648183.5662;6860759.2739
48.9149497564;2.40440908743;290;Fort d'Aubervilliers;FORT D'AUBERVILLIERS;7;656348.6195;6868493.2879
48.8698082202;2.30747079345;293;Franklin D.Roosevelt;FRANKLIN-D.ROOSEVELT;1;649200.0725;6863531.7539
48.9163823099;2.2946851117;297;Gabriel Péri-Asnières-Gennevilliers;GABRIEL PERI-ASNIERES-GENNEVILLIERS;13;648308.4732;6868718.8268
48.8386316462;2.32249174982;299;Gaïté;GAITE;13;650272.1513;6860055.6505
48.8574779825;2.35157756299;352;Hôtel de Ville;HOTEL DE VILLE;1;652424.1554;6862133.2583
48.8886312178;2.24793243532;269;Esplanade de la Défense;ESPLANADE DE LA DEFENSE;1;644852.7454;6865664.6753
48.8638074378;2.34888065259;273;Étienne Marcel;ETIENNE-MARCEL;4;652232.0865;6862838.6691
48.8759910648;2.35788077193;313;Gare de l'Est;GARE DE L'EST;4;652903.3623;6864187.9922
48.8761263529;2.35804750536;314;Gare de l'Est;GARE DE L'EST;5;652915.7135;6864202.9359
48.843985582;2.37301421994;317;Gare de Lyon;GARE DE LYON;14;653985.0528;6860620.3235
48.8437354893;2.32435304116;562;Montparnasse BienvenÃ¼e;MONTPARNASSE;12;650413.6192;6860621.9732
48.8525040906;2.26817674944;372;Jasmin;JASMIN;9;646299.9369;6861633.6924
48.8461236669;2.27771173983;377;Javel-André CitroÃ«n;JAVEL;10;646993.0906;6860917.8132
48.8716497691;2.29352429034;389;Kléber;KLEBER;6;648178.897;6863745.5821
48.9207859699;2.41059861373;412;La Courneuve 8 Mai 1945;LA COURNEUVE 8 MAI 1945;7;656807.0911;6869138.86
48.8914168342;2.34973840702;511;Marcadet-Poissonniers;MARCADET-POISSONNIERS;4;652320.2944;6865908.132
48.8452475655;2.2616234924;544;Michel Ange-Molitor;MICHEL-ANGE-MOLITOR;10;645811.5379;6860831.3205
48.8471310082;2.27276375332;547;Mirabeau;MIRABEAU;10;646631.0122;6861033.1517
48.8812858119;2.36554431917;476;Louis Blanc;LOUIS BLANC;7;653470.1684;6864772.1908
48.8619369141;2.44131094125;492;Mairie de Montreuil;MAIRIE DE MONTREUIL;9;659011.4336;6862578.7337
48.8848962552;2.29772434648;631;Pereire-Levallois;PEREIRE-LEVALLOIS;3;648500.0697;6865215.7477
48.8473748787;2.39546199483;585;Nation;NATION;6;655635.364;6860984.3345
48.8775512518;2.28316224223;1;Porte Maillot;PORTE MAILLOT;1;647424.8025;6864408.6314
48.883804528;2.32724341195;648;Place de Clichy;PLACE DE CLICHY;13;650663.7014;6865075.5065
48.830927241;2.3561219388;653;Place d'Italie;PLACE D'ITALIE;6;652733.5032;6859178.3508
48.8646578796;2.36841002566;602;Oberkampf;OBERKAMPF;5;653665.5406;6862921.5946
48.8978210671;2.27980958669;668;Pont de Levallois-Bécon;PONT DE LEVALLOIS-BECON;3;647199.4721;6866664.741
48.8296748438;2.23079959132;671;Pont de Sèvres;PONT DE SEVRES;9;643532.6156;6859121.418
48.8331629295;2.40144805422;686;Porte de Charenton;PORTE DE CHARENTON;8;656062.6699;6859400.7586
48.8611688655;2.36721086641;780;Saint-Sébastien-Froissart;SAINT-SEBASTIEN FROISSART;8;653574.4612;6862534.3482
