id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2014-1089176,2014-01-06,000001,Vente,535000,24,,RUE SAINT SAUVEUR,8752,75002,75102,Paris 2e Arrondissement,75,,,75102000AM0018,,,28,53.92,,,,,,,,,1,2,Appartement,50,3,,,,,,2.348095,48.866431
2014-1089179,2014-01-10,000001,Vente,168000,29,,RUE SAINT SAUVEUR,8752,75002,75102,Paris 2e Arrondissement,75,,,75102000AM0133,,,6,22.4,,,,,,,,,1,2,Appartement,20,1,,,,,,2.348564,48.865931
2014-1089180,2014-01-10,000001,Vente,1093000,8,,RUE DE LA PAIX,6998,75002,75102,Paris 2e Arrondissement,75,,,75102000AB0048,,,18,70.27,,,,,,,,,1,2,Appartement,75,2,,,,,,2.331416,48.86866
2014-1089182,2014-01-09,000001,Vente,434880,71,,RUE GRENETA,4318,75002,75102,Paris 2e Arrondissement,75,,,75102000AL0002,,,14,,15,,,,,,,,2,2,Appartement,47,3,,,,,,2.347324,48.865545
2014-1089186,2014-01-02,000001,Vente,375000,8,,RUE DE LA PAIX,6998,75002,75102,Paris 2e Arrondissement,75,,,75102000AB0048,,,177,34.47,,,,,,,,,1,2,Appartement,37,1,,,,,,2.331416,48.86866
2014-1089187,2014-01-10,000001,Vente,225000,45,,PAS DU CAIRE,1430,75002,75102,Paris 2e Arrondissement,75,,,75102000AN0048,,,7,19.12,,,,,,,,,1,2,Appartement,19,1,,,,,,2.350342,48.867835
2014-1089189,2014-01-21,000001,Vente,30000,4,,RUE SAINT FIACRE,8609,75002,75102,Paris 2e Arrondissement,75,,,75102000AH0039,,,4022,,,,,,,,,,1,4,Local industriel. commercial ou assimilé,10,0,,,,,,2.345598,48.869531
2014-1089193,2014-01-07,000001,Vente,895000,45,,RUE MONTORGUEIL,6520,75002,75102,Paris 2e Arrondissement,75,,,75102000AK0065,,,12,90.64,,,,,,,,,1,2,Appartement,90,4,,,,,,2.346435,48.865045
2014-1089195,2014-01-06,000001,Vente,40000,49,,RUE VIVIENNE,9893,75002,75102,Paris 2e Arrondissement,75,,,75102000AG0056,,,4133,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.340907,48.871207
2014-1089196,2014-01-02,000001,Vente,465000,216,,RUE SAINT DENIS,8525,75002,75102,Paris 2e Arrondissement,75,,,75102000AP0097,,,23,43.5,,,,,,,,,1,2,Appartement,43,2,,,,,,2.352147,48.867752
2014-1089198,2014-01-13,000001,Vente,544700,9,,RUE DE LA VILLE NEUVE,9834,75002,75102,Paris 2e Arrondissement,75,,,75102000AO0206,,,13,,16,,17,,6,66.05,,,4,2,Appartement,63,3,,,,,,2.348366,48.869779
2014-1089199,2014-01-17,000001,Vente,10000,53,,RUE VIVIENNE,9893,75002,75102,Paris 2e Arrondissement,75,,,75102000AG0055,,,126,,,,,,,,,,1,4,Local industriel. commercial ou assimilé,421,0,,,,,,2.341149,48.871464
2014-1089200,2014-01-17,000001,Vente,570000,110,,RUE SAINT DENIS,8525,75002,75102,Paris 2e Arrondissement,75,,,75102000AL0090,,,5,,,,,,,,,,1,2,Appartement,59,2,,,,,,2.350357,48.863824
2014-1089201,2014-01-15,000001,Vente,6680000,3,,RUE DU MAIL,5913,75002,75102,Paris 2e Arrondissement,75,,,75102000AJ0135,,,112,454.29,120,,123,,,,,,3,2,Appartement,410,7,,,,,,2.341724,48.866803
