index;Latitude;Longitude;gares_id;nom_gare;nomlong;ligne;x;y;prix_moyen_2014;prix_moyen_2015;prix_moyen_2016;prix_moyen_2017;prix_moyen_2018;prix_moyen_2019;prix_moyen_global
38;48,87755125;2,283162242;1;Porte Maillot;PORTE MAILLOT;1;647424,8025;6864408,631;7684.26248087949;8558.06966497784;8706.51453815775;9414.13984861106;9807.17654833934;10289.9092443524;9076.67872088632
228;48,88459421;2,337949777;2;Abbesses;ABBESSES;12;651449,5655;6865156,678;8669.51019533954;8219.60572107831;8426.39242127461;10018.139838923;9471.74247642109;9929.53378757051;9122.48740676785
67;48,82818848;2,32716465;10;Alésia;ALESIA;4;650605,2307;6858891,556;8124.67428710372;8233.26594199074;8349.4185304257;8550.29826702651;9023.36561075846;10061.0821242212;8723.68412692105
232;48,85637736;2,394561945;11;Alexandre Dumas;ALEXANDRE DUMAS;2;655576,9894;6861985,838;6402.46059486643;7027.32585647507;7517.94078899633;8021.83973589922;20876.105085329;8766.83601270365;9768.75134571163
143;48,86476685;2,300991004;14;Alma-Marceau;ALMA-MARCEAU;9;648719,8026;6862975,383;28820.5564594881;12055.5526238596;14289.7951644798;13942.2835780385;14522.8820151798;13895.7758672384;16254.474284714
68;48,88286865;2,344130634;21;Anvers;ANVERS;2;651901,2249;6864961,024;7859.89785312992;7919.1251972327;8119.90612587968;9490.95280027636;9365.38323823882;9412.21298604463;8694.57970013368
144;48,87559405;2,28932259;25;Argentine;ARGENTINE;1;647874,6513;6864186,921;10937.0235190468;8757.89944441099;9016.66856457674;9163.68281880867;10806.5506433338;10645.5426928612;9887.89461383972
69;48,86532271;2,356729869;27;Arts et Métiers;ARTS ET METIERS;11;652809,2865;6863002,436;8991.80800122837;9412.81578224316;9604.86219635939;10674.9546732109;10658.2634794554;13067.5427863493;10401.7078198077
70;48,86558648;2,356736757;28;Arts et Métiers;ARTS ET METIERS;3;652810,0307;6863031,761;9035.62251309215;9375.45385680851;9574.16344571172;10589.6168395801;10475.217674368;12922.2274687522;10328.7169663854
1;48,86078696;2,320998192;30;Assemblée Nationale;ASSEMBLEE NATIONALE;12;650183,7135;6862520,047;13640.9648168039;12867.1410433377;15869.8479523583;14105.2190787961;16343.350013997;25195.6322492436;16337.0258590895
146;48,84701958;2,295420478;43;Avenue Émile Zola;AVENUE EMILE ZOLA;10;648293,5441;6861005,688;8634.16981123783;8370.01588156607;8851.20272090088;9279.00641086177;9978.41533249751;10556.953337456;9278.29391575336
311;48,85151028;2,398302344;44;Avron;AVRON;2;655847,3058;6861442,562;7141.84340708114;7136.9207972541;7229.98514072446;7946.04564646735;8009.34948687481;8822.19565297343;7714.39002189588
2;48,83593088;2,278161671;47;Balard;BALARD;8;647015,7484;6859784,187;7300.91785591634;7432.03004299091;7291.78464254537;8459.43651754745;8773.68337663413;9162.05821465639;8069.98510838177
71;48,88380394;2,350613001;49;Barbès-Rochechouart;BARBES-ROCHECHOUART;2;652377,4597;6865061,094;6891.71262649669;6694.59691965607;6817.75660586106;7798.92373783124;8180.20433532757;8939.68347126507;7553.81294940628
312;48,88343619;2,349774444;50;Barbès-Rochechouart;BARBES-ROCHECHOUART;4;652315,6291;6865020,708;7066.86455003467;6932.25814855124;7011.77476057849;8016.45763051836;8408.85886678416;9124.83443693203;7760.17473223316
3;48,85247942;2,369320585;54;Bastille;BASTILLE;1;653721,5234;6861566,918;9589.04741873533;8549.21170946319;10209.1788925734;10970.5054040873;11379.6943763956;12236.377973902;10489.0026291928
147;48,85343696;2,368736573;55;Bastille;BASTILLE;5;653679,5214;6861673,73;9825.55239468835;8688.45563649607;10460.1005121697;9532.48243343462;11610.1395680283;12143.511314165;10376.706976497
233;48,85343943;2,36951357;56;Bastille;BASTILLE;8;653736,5364;6861673,549;9662.01503051483;8522.63997507433;10261.7682494998;9421.05197809615;11727.8974063202;12237.6572243233;10305.5049773047
4;48,84133825;2,400918538;59;Bel Air;BEL-AIR;6;656030,6977;6860310,066;6967.74881754226;8115.72605135855;7398.00662537207;8494.49373286392;8028.93266243247;8647.67138992487;7942.09654658236
72;48,87184879;2,376593683;60;Belleville;BELLEVILLE;11;654272,2071;6863716,401;7027.31930173114;6677.66631243593;6555.7885017128;7786.15265680713;12707.1876389208;9083.64715920024;8306.29359513467
148;48,87231011;2,376702145;61;Belleville;BELLEVILLE;2;654280,5677;6863767,634;6796.36206682402;6649.31914239409;6527.9079628062;7638.54745993524;8454.98985161673;9049.29898092784;7519.40424408402
149;48,84000139;2,379554011;66;Bercy;BERCY;14;654461,522;6860173,53;5884.37825569987;7238.58042558312;7767.69765782784;7648.38968426634;7747.02473548436;8714.49407932788;7500.09413969824
5;48,84038875;2,379911271;67;Bercy;BERCY;6;654488,0813;6860216,394;6701.16779427128;7235.21901499644;7761.57056917257;7868.31805389482;7964.04556022755;8753.49450296666;7713.96924925489
308;48,82999028;2,375748144;72;Bibliothèque François Mitterrand;BIBLIOTHEQUE FRANCOIS MITTERRAND;14;654173,3908;6859062,602;6877.88361767704;5743.91394146839;7533.51503372841;10813.7448461478;13614.1740026301;8915.48637287248;8916.45296908739
229;48,85394261;2,289334533;75;Bir-Hakeim (Grenelle);BIR-HAKEIM (GRENELLE);6;647853,8595;6861779,461;8844.78553608584;8433.5935945807;8597.29094357182;9497.46824269479;10121.6098607496;10105.2982122925;9266.67439832922
142;48,88395857;2,331926591;76;Blanche;BLANCHE;2;651007,2769;6865089,72;14496.6857131854;8012.08954850508;8537.59806355917;10048.1899736551;9199.26550952689;9800.21797795698;10015.6744643981
230;48,86698311;2,290058835;84;Boissière;BOISSIERE;6;647920,0418;6863228,968;13376.1070679503;10031.6952784781;10324.2671907304;10087.6552479217;11401.5640184104;12183.4625394762;11234.1252238278
231;48,88082126;2,374147154;88;Bolivar;BOLIVAR;7b;654100,662;6864715,501;6552.21923411512;6859.69456155344;6978.48369399684;7709.46436322488;7880.8602931233;8143.35950374733;7354.01360829348
140;48,8701642;2,350497972;90;Bonne Nouvelle;BONNE NOUVELLE;8;652356,5489;6863544,515;8971.40294863344;8692.34459449045;9388.04522827624;9692.44887925852;10178.8577225595;11937.7452580739;9810.14077188201
62;48,8701642;2,350497972;91;Bonne Nouvelle;BONNE NOUVELLE;9;652356,5489;6863544,515;8971.40294863344;8692.34459449045;9388.04522827624;9692.44887925852;10178.8577225595;11937.7452580739;9810.14077188201
