name,annee,value,category,Correspondance_2,Correspondance_3,Correspondance_4,Correspondance_5,Trafic,nb_lignes,date
 ABBESSES , 2014 , 8823 , 12 ,  ,  ,  ,  , 2349588 , 1 , 2014-01-01 
 ALESIA , 2014 , 8233 , 4 ,  ,  ,  ,  , 4764374 , 1 , 2014-01-01 
 ALEXANDRE  DUMAS , 2014 , 6518 , 2 ,  ,  ,  ,  , 3439879 , 1 , 2014-01-01 
 ALMA-MARCEAU , 2014 , 14084 , 9 ,  ,  ,  ,  , 4382709 , 1 , 2014-01-01 
 ANVERS , 2014 , 8163 , 2 ,  ,  ,  ,  , 5643147 , 1 , 2014-01-01 
 ARGENTINE , 2014 , 8514 , 1 ,  ,  ,  ,  , 3026210 , 1 , 2014-01-01 
 ARTS  ET  METIERS , 2014 , 9351 , 3 , 11 ,  ,  ,  , 4011632 , 2 , 2014-01-01 
 ASSEMBLEE  NATIONALE , 2014 , 14057 , 12 ,  ,  ,  ,  , 1063551 , 1 , 2014-01-01 
 AUSTERLITZ , 2014 , 3949 , 5 , 10 ,  ,  ,  , 9887549 , 2 , 2014-01-01 
 AVENUE  EMILE  ZOLA , 2014 , 8627 , 10 ,  ,  ,  ,  , 1479759 , 1 , 2014-01-01 
 AVRON , 2014 , 7231 , 2 ,  ,  ,  ,  , 1871024 , 1 , 2014-01-01 
 BALARD , 2014 , 7300 , 8 ,  ,  ,  ,  , 5626040 , 1 , 2014-01-01 
 BARBES-ROCHECHOUART , 2014 , 7127 , 2 , 4 ,  ,  ,  , 7974496 , 2 , 2014-01-01 
 BASTILLE , 2014 , 9781 , 1 , 5 , 8 ,  ,  , 13151192 , 3 , 2014-01-01 
 BEL-AIR , 2014 , 7005 , 6 ,  ,  ,  ,  , 2247926 , 1 , 2014-01-01 
 BELLEVILLE , 2014 , 6923 , 2 , 11 ,  ,  ,  , 10735544 , 2 , 2014-01-01 
 BERCY , 2014 , 7103 , 6 , 14 ,  ,  ,  , 6311543 , 2 , 2014-01-01 
 BIBLIOTHEQUE  FRANCOIS  MITTERRAND , 2014 , 7207 , 14 ,  ,  ,  ,  , 19754334 , 1 , 2014-01-01 
 BIR-HAKEIM  (GRENELLE) , 2014 , 8902 , 6 ,  ,  ,  ,  , 6903648 , 1 , 2014-01-01 
 BLANCHE , 2014 , 8575 , 2 ,  ,  ,  ,  , 3893362 , 1 , 2014-01-01 
 BOISSIERE , 2014 , 9929 , 6 ,  ,  ,  ,  , 1919511 , 1 , 2014-01-01 
 BOLIVAR , 2014 , 6672 , 7bis ,  ,  ,  ,  , 546780 , 1 , 2014-01-01 
 BONNE  NOUVELLE , 2014 , 8726 , 8 , 9 ,  ,  ,  , 4583027 , 2 , 2014-01-01 
 BOTZARIS , 2014 , 6779 , 7bis ,  ,  ,  ,  , 993450 , 1 , 2014-01-01 
 BOUCICAUT , 2014 , 8331 , 8 ,  ,  ,  ,  , 3152108 , 1 , 2014-01-01 
 BOURSE , 2014 , 9635 , 3 ,  ,  ,  ,  , 3386481 , 1 , 2014-01-01 
 BREGUET-SABIN , 2014 , 9641 , 5 ,  ,  ,  ,  , 1791352 , 1 , 2014-01-01 
 BROCHANT , 2014 , 7655 , 13 ,  ,  ,  ,  , 2984525 , 1 , 2014-01-01 
 BUTTES-CHAUMONT , 2014 , 6617 , 7bis ,  ,  ,  ,  , 545750 , 1 , 2014-01-01 
 BUZENVAL , 2014 , 6279 , 9 ,  ,  ,  ,  , 1941769 , 1 , 2014-01-01 
 CADET , 2014 , 8698 , 7 ,  ,  ,  ,  , 3042484 , 1 , 2014-01-01 
 CAMBRONNE , 2014 , 8948 , 6 ,  ,  ,  ,  , 2524418 , 1 , 2014-01-01 
 CAMPO-FORMIO , 2014 , 8035 , 5 ,  ,  ,  ,  , 1335450 , 1 , 2014-01-01 
 CARDINAL-LEMOINE , 2014 , 13391 , 10 ,  ,  ,  ,  , 1663781 , 1 , 2014-01-01 
 CENSIER-DAUBENTON , 2014 , 11478 , 7 ,  ,  ,  ,  , 3385284 , 1 , 2014-01-01 
 CHAMPS-ELYSEES-CLEMENCEAU , 2014 , 12740 , 1 , 13 ,  ,  ,  , 4006171 , 2 , 2014-01-01 
 CHARDON-LAGACHE , 2014 , 7808 , 10 ,  ,  ,  ,  , 692665 , 1 , 2014-01-01 
 CHARLES  DE  GAULLE  ETOILE , 2014 , 9716 , 1 , 2 , 6 ,  ,  , 7296559 , 3 , 2014-01-01 
 CHARLES  MICHELS , 2014 , 8637 , 10 ,  ,  ,  ,  , 4601730 , 1 , 2014-01-01 
 CHARONNE , 2014 , 7557 , 9 ,  ,  ,  ,  , 3652338 , 1 , 2014-01-01 
 CHATEAU  D'EAU , 2014 , 8239 , 4 ,  ,  ,  ,  , 3878260 , 1 , 2014-01-01 
 CHATEAU  ROUGE , 2014 , 6549 , 4 ,  ,  ,  ,  , 7306788 , 1 , 2014-01-01 
 CHATEAU-LANDON , 2014 , 6923 , 7 ,  ,  ,  ,  , 1759434 , 1 , 2014-01-01 
 CHATELET , 2014 , 9964 , 1 , 4 , 7 , 11 , 14 , 10766712 , 5 , 2014-01-01 
 CHAUSSEE  D'ANTIN  (LA  FAYETTE) , 2014 , 11610 , 7 , 9 ,  ,  ,  , 7312371 , 2 , 2014-01-01 
 CHEMIN  VERT , 2014 , 9665 , 8 ,  ,  ,  ,  , 1527533 , 1 , 2014-01-01 
 CHEVALERET , 2014 , 6634 , 6 ,  ,  ,  ,  , 3426306 , 1 , 2014-01-01 
 CITE , 2014 , 10772 , 4 ,  ,  ,  ,  , 1740572 , 1 , 2014-01-01 
 CLUNY-LA-SORBONNE , 2014 , 11416 , 10 ,  ,  ,  ,  , 2232036 , 1 , 2014-01-01 
 COLONEL  FABIEN , 2014 , 6873 , 2 ,  ,  ,  ,  , 4511921 , 1 , 2014-01-01 
 COMMERCE , 2014 , 8422 , 8 ,  ,  ,  ,  , 2864592 , 1 , 2014-01-01 
 CONCORDE , 2014 , 16885 , 1 , 8 , 12 ,  ,  , 6115023 , 3 , 2014-01-01 
 CONVENTION , 2014 , 8032 , 12 ,  ,  ,  ,  , 5275717 , 1 , 2014-01-01 
 CORENTIN  CARIOU , 2014 , 5712 , 7 ,  ,  ,  ,  , 2766678 , 1 , 2014-01-01 
 CORVISART , 2014 , 8008 , 6 ,  ,  ,  ,  , 2512122 , 1 , 2014-01-01 
 COUR  SAINT-EMILION , 2014 , 6992 , 14 ,  ,  ,  ,  , 6043808 , 1 , 2014-01-01 
 COURCELLES , 2014 , 9292 , 2 ,  ,  ,  ,  , 2557929 , 1 , 2014-01-01 
 COURONNES , 2014 , 7334 , 2 ,  ,  ,  ,  , 2897777 , 1 , 2014-01-01 
 CRIMEE , 2014 , 5924 , 7 ,  ,  ,  ,  , 5431969 , 1 , 2014-01-01 
 DANUBE , 2014 , 6486 , 7bis ,  ,  ,  ,  , 547896 , 1 , 2014-01-01 
 DAUMESNIL , 2014 , 6899 , 6 , 8 ,  ,  ,  , 4954004 , 2 , 2014-01-01 
 DENFERT-ROCHEREAU , 2014 , 8459 , 4 , 6 ,  ,  ,  , 3911586 , 2 , 2014-01-01 
 DUGOMMIER , 2014 , 6552 , 6 ,  ,  ,  ,  , 2579556 , 1 , 2014-01-01 
 DUPLEIX , 2014 , 8987 , 6 ,  ,  ,  ,  , 3221871 , 1 , 2014-01-01 
 DUROC , 2014 , 10696 , 10 , 13 ,  ,  ,  , 3596220 , 2 , 2014-01-01 
 ECOLE  MILITAIRE , 2014 , 10285 , 8 ,  ,  ,  ,  , 4468169 , 1 , 2014-01-01 
 EDGAR  QUINET , 2014 , 9766 , 6 ,  ,  ,  ,  , 2142333 , 1 , 2014-01-01 
 EGLISE  D'AUTEUIL , 2014 , 8050 , 10 ,  ,  ,  ,  , 169939 , 1 , 2014-01-01 
 ETIENNE-MARCEL , 2014 , 9563 , 4 ,  ,  ,  ,  , 2676549 , 1 , 2014-01-01 
 EUROPE , 2014 , 11316 , 3 ,  ,  ,  ,  , 1618088 , 1 , 2014-01-01 
 EXELMANS , 2014 , 7770 , 9 ,  ,  ,  ,  , 2102492 , 1 , 2014-01-01 
 FAIDHERBE-CHALIGNY , 2014 , 7802 , 8 ,  ,  ,  ,  , 3032239 , 1 , 2014-01-01 
 FALGUIERE , 2014 , 10445 , 12 ,  ,  ,  ,  , 881763 , 1 , 2014-01-01 
 FELIX  FAURE , 2014 , 8381 , 8 ,  ,  ,  ,  , 1744774 , 1 , 2014-01-01 
 FILLES  DU  CALVAIRE , 2014 , 8926 , 8 ,  ,  ,  ,  , 1606192 , 1 , 2014-01-01 
 FRANKLIN-D.ROOSEVELT , 2014 , 14138 , 1 , 9 ,  ,  ,  , 9545487 , 2 , 2014-01-01 
 GAITE , 2014 , 8699 , 13 ,  ,  ,  ,  , 2713799 , 1 , 2014-01-01 
 GAMBETTA , 2014 , 6644 , 3 , 3bis ,  ,  ,  , 6798910 , 2 , 2014-01-01 
 GARE  DE  L'EST , 2014 , 7529 , 4 , 5 , 7 ,  ,  , 22443106 , 3 , 2014-01-01 
 GARE  DE  LYON , 2014 , 8009 , 1 , 14 , A ,  ,  , 36512570 , 3 , 2014-01-01 
 GARE  DU  NORD , 2014 , 6919 , 4 , 5 ,  ,  ,  , 51141374 , 2 , 2014-01-01 
 GEORGE  V , 2014 , 13681 , 1 ,  ,  ,  ,  , 6643262 , 1 , 2014-01-01 
 GLACIERE , 2014 , 7788 , 6 ,  ,  ,  ,  , 4498939 , 1 , 2014-01-01 
 GONCOURT  (HOPITAL  SAINT-LOUIS) , 2014 , 7535 , 11 ,  ,  ,  ,  , 2192190 , 1 , 2014-01-01 
 GRANDS  BOULEVARDS  (RUE  MONTMARTRE) , 2014 , 8877 , 8 , 9 ,  ,  ,  , 6807424 , 2 , 2014-01-01 
 GUY  MOQUET , 2014 , 7086 , 13 ,  ,  ,  ,  , 4004960 , 1 , 2014-01-01 
 HAVRE-CAUMARTIN , 2014 , 11562 , 3 , 9 ,  ,  ,  , 8277127 , 2 , 2014-01-01 
 HOCHE , 2014 , 4954 ,  ,  ,  ,  ,  ,  , 1 , 2014-01-01 
 HOTEL  DE  VILLE , 2014 , 10632 , 1 , 11 ,  ,  ,  , 12307363 , 2 , 2014-01-01 
 IENA , 2014 , 9511 , 9 ,  ,  ,  ,  , 2646049 , 1 , 2014-01-01 
 INVALIDES , 2014 , 12825 , 8 , 13 ,  ,  ,  , 6540934 , 2 , 2014-01-01 
 JACQUES  BONSERGENT , 2014 , 8212 , 5 ,  ,  ,  ,  , 2477876 , 1 , 2014-01-01 
 JASMIN , 2014 , 8700 , 9 ,  ,  ,  ,  , 1935764 , 1 , 2014-01-01 
 JAURES , 2014 , 6705 , 2 , 5 , 7bis ,  ,  , 5836196 , 3 , 2014-01-01 
 JAVEL , 2014 , 7891 , 10 ,  ,  ,  ,  , 2969444 , 1 , 2014-01-01 
 JOURDAIN , 2014 , 6891 , 11 ,  ,  ,  ,  , 3029314 , 1 , 2014-01-01 
 JULES  JOFFRIN , 2014 , 6941 , 12 ,  ,  ,  ,  , 4034229 , 1 , 2014-01-01 
 JUSSIEU , 2014 , 13598 , 7 , 10 ,  ,  ,  , 4328012 , 2 , 2014-01-01 
 KLEBER , 2014 , 10706 , 6 ,  ,  ,  ,  , 1253324 , 1 , 2014-01-01 
 LA  CHAPELLE , 2014 , 6257 , 2 ,  ,  ,  ,  , 6534340 , 1 , 2014-01-01 
 LA  FOURCHE , 2014 , 8030 , 13 ,  ,  ,  ,  , 2563103 , 1 , 2014-01-01 
 LA  MOTTE-PICQUET-GRENELLE , 2014 , 8926 , 6 , 8 , 10 ,  ,  , 7958383 , 3 , 2014-01-01 
 LA  MUETTE , 2014 , 9236 , 9 ,  ,  ,  ,  , 3991922 , 1 , 2014-01-01 
 LA  TOUR  MAUBOURG , 2014 , 10885 , 8 ,  ,  ,  ,  , 2139593 , 1 , 2014-01-01 
