Rang;Réseau;Station;Trafic;Correspondance_1;Correspondance_2;Correspondance_3;Correspondance_4;Correspondance_5;Ville;Arrondissement pour Paris
221;Métro;ABBESSES;2349588;12;;;;;Paris;18
89;Métro;ALESIA;4764374;4;;;;;Paris;14
142;Métro;ALEXANDRE DUMAS;3439879;2;;;;;Paris;11
103;Métro;ALMA-MARCEAU;4382709;9;;;;;Paris;8
67;Métro;ANVERS;5643147;2;;;;;Paris;18
173;Métro;ARGENTINE;3026210;1;;;;;Paris;17
116;Métro;ARTS ET METIERS;4011632;3;11;;;;Paris;3
291;Métro;ASSEMBLEE NATIONALE;1063551;12;;;;;Paris;7
281;Métro;AVENUE EMILE ZOLA;1479759;10;;;;;Paris;15
256;Métro;AVRON;1871024;2;;;;;Paris;11
68;Métro;BALARD;5626040;8;;;;;Paris;15
29;Métro;BARBES-ROCHECHOUART;7974496;2;4;;;;Paris;18
10;Métro;BASTILLE;13151192;1;5;8;;;Paris;12
231;Métro;BEL-AIR;2247926;6;;;;;Paris;12
13;Métro;BELLEVILLE;10735544;2;11;;;;Paris;10
54;Métro;BERCY;6311543;6;14;;;;Paris;12
6;Métro;BIBLIOTHEQUE FRANCOIS MITTERRAND;19754334;14;;;;;Paris;13
40;Métro;BIR-HAKEIM (GRENELLE);6903648;6;;;;;Paris;15
122;Métro;BLANCHE;3893362;2;;;;;Paris;9
251;Métro;BOISSIERE;1919511;6;;;;;Paris;16
299;Métro;BOLIVAR;546780;7bis;;;;;Paris;19
94;Métro;BONNE NOUVELLE;4583027;8;9;;;;Paris;10
293;Métro;BOTZARIS;993450;7bis;;;;;Paris;19
162;Métro;BOUCICAUT;3152108;8;;;;;Paris;15
148;Métro;BOURSE;3386481;3;;;;;Paris;2
260;Métro;BREGUET-SABIN;1791352;5;;;;;Paris;11
176;Métro;BROCHANT;2984525;13;;;;;Paris;17
300;Métro;BUTTES-CHAUMONT;545750;7bis;;;;;Paris;19
249;Métro;BUZENVAL;1941769;9;;;;;Paris;20
169;Métro;CADET;3042484;7;;;;;Paris;9
207;Métro;CAMBRONNE;2524418;6;;;;;Paris;15
283;Métro;CAMPO-FORMIO;1335450;5;;;;;Paris;13
271;Métro;CARDINAL-LEMOINE;1663781;10;;;;;Paris;5
149;Métro;CENSIER-DAUBENTON;3385284;7;;;;;Paris;6
117;Métro;CHAMPS-ELYSEES-CLEMENCEAU;4006171;1;13;;;;Paris;8
296;Métro;CHARDON-LAGACHE;692665;10;;;;;Paris;16
36;Métro;CHARLES DE GAULLE ETOILE;7296559;1;2;6;;;Paris;8
93;Métro;CHARLES MICHELS;4601730;10;;;;;Paris;15
134;Métro;CHARONNE;3652338;9;;;;;Paris;12
125;Métro;CHATEAU D'EAU;3878260;4;;;;;Paris;10
35;Métro;CHATEAU ROUGE;7306788;4;;;;;Paris;18
263;Métro;CHATEAU-LANDON;1759434;7;;;;;Paris;10
12;Métro;CHATELET;10766712;1;4;7;11;14;Paris;1
34;Métro;CHAUSSEE D'ANTIN (LA FAYETTE);7312371;7;9;;;;Paris;9
279;Métro;CHEMIN VERT;1527533;8;;;;;Paris;11
145;Métro;CHEVALERET;3426306;6;;;;;Paris;13
265;Métro;CITE;1740572;4;;;;;Paris;4
233;Métro;CLUNY-LA-SORBONNE;2232036;10;;;;;Paris;5
95;Métro;COLONEL FABIEN;4511921;2;;;;;Paris;10
185;Métro;COMMERCE;2864592;8;;;;;Paris;15
58;Métro;CONCORDE;6115023;1;8;12;;;Paris;8
76;Métro;CONVENTION;5275717;12;;;;;Paris;15
191;Métro;CORENTIN CARIOU;2766678;7;;;;;Paris;19
208;Métro;CORVISART;2512122;6;;;;;Paris;13
60;Métro;COUR SAINT-EMILION;6043808;14;;;;;Paris;12
205;Métro;COURCELLES;2557929;2;;;;;Paris;17
184;Métro;COURONNES;2897777;2;;;;;Paris;11
74;Métro;CRIMEE;5431969;7;;;;;Paris;19
298;Métro;DANUBE;547896;7bis;;;;;Paris;19
86;Métro;DAUMESNIL;4954004;6;8;;;;Paris;12
121;Métro;DENFERT-ROCHEREAU;3911586;4;6;;;;Paris;14
203;Métro;DUGOMMIER;2579556;6;;;;;Paris;12
155;Métro;DUPLEIX;3221871;6;;;;;Paris;15
135;Métro;DUROC;3596220;10;13;;;;Paris;7
99;Métro;ECOLE MILITAIRE;4468169;8;;;;;Paris;7
236;Métro;EDGAR QUINET;2142333;6;;;;;Paris;14
303;Métro;EGLISE D'AUTEUIL;169939;10;;;;;Paris;16
196;Métro;ETIENNE-MARCEL;2676549;4;;;;;Paris;1
273;Métro;EUROPE;1618088;3;;;;;Paris;8
240;Métro;EXELMANS;2102492;9;;;;;Paris;16
171;Métro;FAIDHERBE-CHALIGNY;3032239;8;;;;;Paris;12
